obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
0,1.2376719387253143e+18,234.002677661956,58.8161842062447,25.20408,21.65167,20.99819,19.67512,19.06929,6162,301,1,49,7.655049925278063e+18,GALAXY,0.6766849,6799,56478,205
1,1.2376625300657933e+18,213.362389786231,13.3120838986276,22.30979,20.9556,19.23417,18.59188,18.24954,3971,301,4,98,6.145299781105505e+18,GALAXY,0.3336965,5458,56011,502
2,1.2376672545311956e+18,131.781123005423,19.4132584019499,22.88588,22.44308,21.7655,21.21628,20.85812,5071,301,4,119,1.076931163525876e+19,GALAXY,0.8389235,9565,58127,287
3,1.23764976810564e+18,358.912239897049,55.8901996318372,17.21254,15.26124,14.38605,14.07872,13.92771,1000,301,1,72,2.6763196708600945e+18,STAR,-0.0001255743,2377,53991,202
4,1.2376697665475054e+18,9.50269124975603,7.08942097708231,22.11972,20.94499,20.6988,20.77995,20.37446,5656,301,3,78,5.112772598552615e+18,QSO,2.719666,4541,55882,222
5,1.2376646684448525e+18,182.786300499825,39.9822164124625,18.93998,17.68024,17.04296,16.69688,16.47036,4469,301,3,437,2.246205280939436e+18,GALAXY,0.09745005,1995,53415,127
6,1.237680272036e+18,332.496561826757,19.1575781135064,25.10085,22.3726,20.71808,19.5564,18.878,8102,301,3,55,5.662321976917907e+18,GALAXY,0.5577476,5029,55750,623
7,1.2376546058726932e+18,183.141155834702,5.39835930124777,18.60292,17.38012,16.6688,16.17367,15.93026,2126,301,4,427,9.492634037366559e+17,GALAXY,0.09283426,843,52378,472
8,1.2376785986278523e+18,1.17236138629579,3.71655961200519,19.03717,18.06425,17.74144,17.61325,17.5586,7712,301,6,337,1.0627587058460547e+19,STAR,-0.0002886029,9439,58015,792
9,1.2376786195766316e+18,25.8536982944912,2.92609120375914,22.32221,21.78932,20.70586,19.86024,19.55463,7717,301,5,502,4.809948123429624e+18,GALAXY,0.6101426,4272,55509,377
10,1.2376632720162819e+18,273.407640175478,77.7934154189841,20.01883,17.56591,16.21468,15.31388,14.84501,4144,301,2,20,3.154853800045472e+18,STAR,-0.0004644218,2802,54326,299
11,1.2376728165147607e+18,349.747156806026,18.5376896260226,19.23088,17.96239,17.82065,17.78402,17.82338,6366,301,4,133,8.564802895643694e+18,STAR,-0.0001108782,7607,56902,299
12,1.2376648531086543e+18,218.872525855036,32.4686816623425,23.69486,22.57305,20.88461,19.71982,19.31979,4512,301,3,135,4.355164273158412e+18,GALAXY,0.589592,3868,55360,667
13,1.2376675363831155e+18,119.719553838926,9.787799682134,23.23671,21.05615,19.23722,18.56956,18.22406,5137,301,1,38,5.078941720579955e+18,GALAXY,0.3693936,4511,55602,26
14,1.2376650265125192e+18,176.059121836411,35.7757997130563,21.76114,19.11457,17.53419,16.97082,16.6284,4552,301,6,52,2.291292404856154e+18,GALAXY,0.2752714,2035,53436,313
15,1.237662224056976e+18,155.111645384348,35.3016319544364,23.1797,22.19172,20.39717,19.29473,18.78919,3900,301,2,214,5.138726565291776e+18,GALAXY,0.5798816,4564,55570,434
16,1.2376672105020134e+18,119.461627716582,12.6143247713249,19.30279,17.46634,16.66393,16.28102,15.95047,5061,301,2,31,2.549049545493342e+18,GALAXY,0.04870731,2264,53682,44
17,1.2376623362527073e+18,234.336506900154,35.0873111773467,22.93698,21.74981,20.26153,19.44427,19.17742,3926,301,3,57,5.60162289256578e+18,GALAXY,0.5120972,4975,56037,985
18,1.2376609634747686e+18,133.575042564185,33.2832939041314,22.19009,23.21501,21.64067,20.59413,19.92248,3606,301,6,72,1.1527140679324291e+19,GALAXY,0.555253,10238,58155,645
19,1.237666229104674e+18,262.105579963605,27.6958414478919,25.24918,21.18494,19.4018,18.75138,18.42957,4832,301,6,72,5.634187947609971e+18,GALAXY,0.3840643,5004,55711,672
20,1.2376623373304463e+18,243.632141130211,30.223737426063,20.63033,18.74555,17.63607,17.17685,16.82855,3926,301,5,118,1.5831648508534067e+18,GALAXY,0.1298093,1406,52876,544
21,1.2376788595353196e+18,336.595938286179,11.2955934554022,22.33613,21.48787,20.19411,19.41136,18.82837,7773,301,4,157,5.683632169383385e+18,GALAXY,0.529941,5048,56218,325
22,1.2376642958353372e+18,208.728275364939,38.2244975356427,23.08709,21.43942,20.78044,20.58224,20.45635,4382,301,5,115,9.962047170260783e+18,STAR,-0.0003649819,8848,57875,308
23,1.2376603433929933e+18,129.568612023868,31.2966240453139,21.73448,21.54987,21.64754,21.98788,22.27135,3462,301,3,135,1.2006819399678056e+19,GALAXY,0.06906182,10664,58464,810
24,1.2376788595412828e+18,350.46844907208,12.4027598566937,26.28714,21.75173,19.88558,19.06294,18.57349,7773,301,4,248,6.931233445244066e+18,GALAXY,0.4585056,6156,56239,704
25,1.2376682928367867e+18,170.815266712533,18.6209590544182,25.07025,22.70524,20.95275,19.91791,19.55227,5313,301,2,77,6.631710256652376e+18,GALAXY,0.5410051,5890,56037,581
26,1.2376785841120215e+18,25.4752817549594,23.5855224009787,18.87491,17.21729,16.48764,16.21538,16.04213,7709,301,3,27,2.301371900997167e+18,STAR,1.997441e-05,2044,53327,118
27,1.2376675374607245e+18,127.76911198787,13.9269943451622,23.26447,22.16943,20.5707,19.68356,19.06816,5137,301,3,97,5.069959809438341e+18,QSO,1.632363,4503,55563,118
28,1.2376672056785633e+18,114.84028094513,65.1271206026778,17.69302,16.13796,15.56653,15.38296,15.31605,5060,301,1,159,3.309076801686366e+18,STAR,-0.0001511718,2939,54515,207
29,1.2376637852791603e+18,18.3589267369856,0.987067796907394,19.81279,19.66875,19.41446,19.34612,19.36117,4263,301,6,238,7.826021770246492e+17,QSO,1.295969,695,52202,370
30,1.2376672545319168e+18,133.361308470706,20.0248453440657,21.98265,21.90127,20.60743,19.3576,18.82231,5071,301,4,130,5.826694570663238e+18,GALAXY,0.6426739,5175,55955,591
