ID фианита,Вес (карат),Качество огранки,Цвет,Оценка чистоты,Высота на средний диаметр (%),Ширина площадки на средний диаметр (%),Длина (мм),Ширина (мм),Высота (мм),Стоимость
0,5311,0.55,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",62.4,56.0,5.25,5.23,3.27,1556
1,26933,0.31,Идеальное,Шампань,"Очень мелкие включения, не видимые без увеличения",61.1,56.0,4.36,4.38,2.67,863
2,12461,0.52,Идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",62.4,55.0,5.19,5.17,3.23,1577
3,5608,0.32,Идеальное,Белый,"Очень мелкие включения, не видимые без увеличения",62.0,54.0,4.39,4.42,2.73,708
4,13007,0.34,Идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",62.4,55.0,4.48,4.5,2.8,615
5,9780,0.7,Почти идеальное,Белый,"Мелкие включения, видимые без увеличения",61.8,61.0,5.66,5.63,3.49,2056
6,12177,1.01,Очень хорошее,,"Мелкие включения, видимые без увеличения",64.1,59.0,6.35,6.31,4.06,4480
7,9621,0.3,Идеальное,Шампань,"Очень мелкие включения, не видимые без увеличения",61.2,57.0,4.33,4.36,2.66,895
8,18759,0.81,Идеальное,,"Мелкие включения, видимые без увеличения",61.4,57.0,6.0,5.97,3.68,2673
9,9427,1.1,Идеальное,Розовый,"Крупные включения, видимые без увеличения",61.3,57.0,6.68,6.62,4.08,3690
10,15411,0.7,Почти идеальное,Аква,"Мелкие включения, видимые без увеличения",58.3,61.0,5.74,5.7,3.33,2167
11,8257,0.51,Идеальное,Белый,"Очень мелкие включения, не видимые без увеличения",62.9,57.0,5.12,5.09,3.21,1974
12,13826,0.6,Идеальное,Шампань,"Очень мелкие включения, не видимые без увеличения",62.0,53.7,5.4,5.44,3.36,3082
13,21569,1.31,Почти идеальное,,"Мелкие включения, видимые без увеличения",59.7,59.0,7.06,7.01,4.2,3697
14,8783,0.9,Хорошее,Голубой,"Очень мелкие включения, видимые без увеличения",65.5,57.0,6.05,6.01,3.95,3226
15,13696,0.35,Отличное,Белый,"Очень мелкие включения, видимые без увеличения",61.7,61.0,4.49,4.52,2.78,706
16,3260,0.69,Идеальное,Белый,"Мелкие включения, видимые без увеличения",62.4,56.0,5.66,5.69,3.55,2297
17,3448,0.73,Хорошее,Зеленый,"Очень мелкие включения, не видимые без увеличения",64.4,59.0,5.65,5.62,3.63,2351
18,5152,0.38,Почти идеальное,Розовый,"Очень мелкие включения, не видимые без увеличения",59.2,58.0,4.8,4.76,2.83,1257
19,8567,0.3,Идеальное,Розовый,"Очень мелкие включения, не видимые без увеличения",62.2,53.0,4.3,4.32,2.68,857
20,1300,0.4,Почти идеальное,Белый,"Мелкие включения, видимые без увеличения",62.0,59.0,4.72,4.7,2.92,900
21,25016,1.0,Почти идеальное,Желтый,"Очень мелкие включения, видимые без увеличения",62.0,62.0,6.42,6.35,3.96,3685
22,19902,0.4,Очень хорошее,Аква,"Очень мелкие включения, не видимые без увеличения",60.2,63.0,4.74,4.8,2.87,1135
23,7671,0.7,Идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",62.0,59.0,5.68,5.71,3.53,2648
24,15045,0.9,Отличное,Розовый,"Мелкие включения, видимые без увеличения",59.8,54.0,6.25,6.32,3.76,4054
25,22029,0.52,Идеальное,Аква,"Мелкие включения, видимые без увеличения",60.0,56.0,5.24,5.19,3.13,1720
26,16811,0.26,Идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",62.4,53.0,4.11,4.13,2.57,618
27,8252,0.81,Идеальное,Шампань,"Мелкие включения, видимые без увеличения",61.3,57.0,6.08,6.03,3.71,3338
28,25795,0.32,Идеальное,Розовый,"Очень мелкие включения, не видимые без увеличения",61.2,57.0,4.4,4.43,2.7,786
29,7376,0.5,Очень хорошее,Шампань,"Очень мелкие включения, видимые без увеличения",59.8,57.0,5.12,5.18,3.08,1395
30,4690,0.71,Хорошее,Белый,"Мелкие включения, видимые без увеличения",64.8,58.0,5.6,5.57,3.62,2055
31,13988,0.56,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",61.3,55.0,5.29,5.32,3.25,1930
32,2353,0.7,Идеальное,Аква,"Очень мелкие включения, видимые без увеличения",61.9,57.0,5.69,5.72,3.53,3093
33,21023,0.25,Отличное,Розовый,"Очень мелкие включения, видимые без увеличения",62.1,58.0,4.0,4.05,2.5,436
34,3323,0.7,Идеальное,Белый,"Мелкие включения, видимые без увеличения",62.5,56.0,5.67,5.69,3.55,2478
35,4264,0.3,Отличное,Розовый,Чистый,62.0,55.0,4.33,4.35,2.69,886
36,18675,0.41,Идеальное,Зеленый,"Мелкие включения, видимые без увеличения",61.6,56.0,4.79,4.82,2.96,639
37,21381,0.7,Очень хорошее,Розовый,"Очень мелкие включения, видимые без увеличения",64.3,59.0,5.6,5.56,3.59,2373
38,2936,0.7,Очень хорошее,,"Мелкие включения, видимые без увеличения",59.4,61.0,5.77,5.81,3.44,1948
39,14440,0.8,Идеальное,Розовый,"Мелкие включения, видимые без увеличения",60.1,60.0,5.98,6.03,3.61,3293
40,15697,1.01,Почти идеальное,Желтый,"Очень мелкие включения, видимые без увеличения",61.0,61.0,6.28,6.22,3.81,3722
41,21294,0.28,Идеальное,Розовый,"Очень мелкие включения, не видимые без увеличения",61.8,56.0,4.22,4.26,2.62,642
42,5227,0.9,Идеальное,Голубой,"Мелкие включения, видимые без увеличения",62.1,55.0,6.17,6.2,3.84,4001
43,13912,0.3,Почти идеальное,Белый,"Очень мелкие включения, не видимые без увеличения",60.5,59.0,4.33,4.36,2.63,789
44,16579,1.01,Почти идеальное,Голубой,"Мелкие включения, видимые без увеличения",62.1,60.0,6.43,6.39,3.98,4439
45,25386,0.27,Отличное,Розовый,"Очень мелкие включения, не видимые без увеличения",61.3,57.0,4.14,4.18,2.54,682
46,25922,0.53,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",61.9,56.0,5.21,5.19,3.22,1813
47,15877,0.75,Почти идеальное,Белый,"Мелкие включения, видимые без увеличения",60.9,58.0,5.87,5.83,3.56,2631
48,26542,0.31,Идеальное,Белый,Чистый,61.0,56.0,4.38,4.37,2.67,988
49,5026,0.36,Идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",60.7,59.0,4.59,4.61,2.79,775
50,18971,0.7,Отличное,Зеленый,"Мелкие включения, видимые без увеличения",61.4,57.0,5.72,5.75,3.52,2028
51,7965,1.03,Идеальное,Розовый,"Мелкие включения, видимые без увеличения",62.4,57.0,6.43,6.38,4.0,3807
52,5817,0.32,Идеальное,Голубой,"Мелкие включения, видимые без увеличения",61.4,56.0,4.4,4.43,2.71,420
53,11104,,Идеальное,Розовый,"Мелкие включения, видимые без увеличения",62.2,55.0,5.32,5.36,3.32,1377
54,19968,0.37,Идеальное,Голубой,Чистый,61.8,55.0,4.65,4.67,2.88,936
55,1646,0.57,Идеальное,Голубой,Чистый,61.0,57.0,5.35,5.38,3.27,2210
56,26338,0.34,Почти идеальное,Желтый,"Очень мелкие включения, видимые без увеличения",61.7,58.0,4.47,4.41,2.74,574
57,28,0.52,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",61.5,56.0,5.18,5.2,3.19,1576
58,10344,0.24,Отличное,Шампань,"Очень мелкие включения, видимые без увеличения",63.5,53.0,3.96,3.98,2.52,419
59,225,0.44,Идеальное,Аква,"Очень мелкие включения, не видимые без увеличения",61.0,57.0,4.91,4.93,3.0,2290
60,3757,0.59,Идеальное,Белый,"Очень мелкие включения, видимые без увеличения",62.1,57.0,5.36,5.39,3.34,1774
61,16655,0.41,Идеальное,Розовый,"Очень мелкие включения, не видимые без увеличения",62.6,55.0,4.73,4.76,2.97,1115
62,4945,0.54,Идеальное,Голубой,"Очень мелкие включения, не видимые без увеличения",61.6,56.0,5.24,5.27,3.24,1639
63,9019,0.38,Почти идеальное,Аква,"Мелкие включения, видимые без увеличения",58.9,61.0,4.79,4.75,2.81,941
64,10330,1.23,Идеальное,Голубой,"Крупные включения, видимые без увеличения",61.6,55.0,6.92,6.87,4.25,3168
65,7791,0.6,Почти идеальное,Шампань,"Мелкие включения, видимые без увеличения",61.9,58.0,5.43,5.39,3.35,1830
66,7301,0.57,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",61.9,57.0,5.31,5.29,3.28,1949
67,17707,0.9,Идеальное,,"Мелкие включения, видимые без увеличения",60.8,57.0,6.22,6.25,3.79,3308
68,20639,0.9,Отличное,,"Очень мелкие включения, видимые без увеличения",59.3,59.0,6.27,6.3,3.73,3992
69,21041,0.36,Почти идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",60.5,59.0,4.6,4.63,2.79,631
70,21362,0.72,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",61.3,57.0,5.76,5.79,3.54,3223
71,17025,0.44,Очень хорошее,Розовый,"Мелкие включения, видимые без увеличения",63.8,54.0,4.8,4.85,3.08,756
72,14997,0.7,Отличное,Желтый,"Очень мелкие включения, видимые без увеличения",58.2,60.0,5.86,5.9,3.42,1896
73,25002,0.9,Отличное,Желтый,"Очень мелкие включения, видимые без увеличения",63.1,57.0,6.12,6.06,3.84,2984
74,14540,0.31,Идеальное,Голубой,"Очень мелкие включения, видимые без увеличения",62.2,57.0,4.37,4.34,2.71,698
75,10369,0.32,Почти идеальное,Белый,"Очень мелкие включения, видимые без увеличения",60.5,58.0,4.42,4.41,2.67,720
76,7239,0.5,Отличное,Голубой,"Мелкие включения, видимые без увеличения",60.0,55.0,5.2,5.23,3.13,1148
77,21588,0.57,Идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",62.0,55.0,5.31,5.34,3.3,2177
78,24604,0.25,Отличное,Шампань,"Очень мелкие включения, не видимые без увеличения",60.1,57.0,4.08,4.11,2.46,526
79,3197,0.32,Почти идеальное,Шампань,"Очень мелкие включения, видимые без увеличения",61.3,59.0,4.39,4.35,2.68,900
80,13796,0.55,Идеальное,Шампань,"Мелкие включения, видимые без увеличения",62.1,55.0,5.21,5.26,3.25,1551
81,4178,0.51,Очень хорошее,Шампань,"Очень мелкие включения, видимые без увеличения",63.1,59.0,5.04,5.07,3.19,1436
82,19434,1.06,Почти идеальное,,"Мелкие включения, видимые без увеличения",58.4,58.0,6.7,6.65,3.9,4007
83,19074,0.64,Идеальное,Зеленый,Чистый,62.0,54.0,5.53,5.56,3.44,1991
84,19717,0.34,Отличное,Шампань,"Очень мелкие включения, не видимые без увеличения",62.7,59.0,4.41,4.43,2.77,775
85,8130,0.54,Идеальное,Розовый,"Очень мелкие включения, видимые без увеличения",60.3,55.0,5.32,5.26,3.19,1786
86,17984,0.64,Идеальное,Шампань,"Мелкие включения, видимые без увеличения",62.7,57.0,5.54,5.47,3.45,1859
