n;rooms;price;totsp;livesp;kitsp;dist;metrdist;walk;brick;tel;bal;floor;new;floors;nfloor;floor1;floor2;nw;w;sw;sanuzel__1_razdel__0_sovm_;okrug;price_meter;ln_price_meter;ln_livesp;ln_totsp;ln_kitsp;ln_dist;ln_metrdist;ln_metrdist_walk;ln_livesp_sq;ln_totsp_sq;ln_kitsp_sq;ln_dist_sq;ln_metrdist_sq;ln_floors;ln_nfloor;ln_floors_sq;ln_nfloor_sq;non_livesp;ln_totsp2;ln_totsp3;ln_price_metr
1;1;5900000;32;19;6;7.5;15;0;0;1;0;1;1;9;3;0;0;0;0;1;1;uzao;184375;12.12473;2.944439;3.465736;1.791759;2.014903;2.70805;0;8.669721;12.01133;3.210402;4.059834;7.333536;2.197225;1.098612;4.827796;1.206949;7;12.01132535;25.52746416;12.12472701
2;1;6590000;33;18;5;7.5;6;1;0;1;1;1;1;5;3;0;0;0;0;1;0;uzao;199697;12.20456;2.890372;3.496508;1.609438;2.014903;1.791759;1.791759;8.354249;12.22557;2.590291;4.059834;3.210402;1.609438;1.098612;2.590291;1.206949;10;12.22556513;24.14688508;12.2045565
3;1;8340000;41;21;6;7.5;12;1;0;1;1;1;1;16;3;0;0;0;0;1;0;uzao;203414.6;12.223;3.044523;3.713572;1.791759;2.014903;2.484907;2.484907;9.269117;13.79062;3.210402;4.059834;6.174761;2.772589;1.098612;7.687248;1.206949;14;13.79061749;28.2200343;12.22300154
4;1;9690000;54;26;13;7.5;7;1;1;1;1;0;1;5;5;0;1;0;0;1;1;uzao;179444.4;12.09762;3.258096;3.988984;2.564949;2.014903;1.94591;1.94591;10.61519;15.91199;6.578965;4.059834;3.786566;1.609438;1.609438;2.590291;2.590291;15;15.91199372;34.58532373;12.09762069
5;1;9690000;54;26;13;7.5;7;1;1;1;1;0;0;5;5;0;1;0;0;1;1;uzao;179444.4;12.09762;3.258096;3.988984;2.564949;2.014903;1.94591;1.94591;10.61519;15.91199;6.578965;4.059834;3.786566;1.609438;1.609438;2.590291;2.590291;15;15.91199372;34.58532373;12.09762069
6;1;5900000;32;19;6;7.5;15;0;0;1;0;1;0;9;3;0;0;0;0;1;1;uzao;184375;12.12473;2.944439;3.465736;1.791759;2.014903;2.70805;0;8.669721;12.01133;3.210402;4.059834;7.333536;2.197225;1.098612;4.827796;1.206949;7;12.01132535;25.52746416;12.12472701
7;1;8950000;36;18;10;7.5;5;1;0;1;0;0;0;17;1;1;0;0;0;1;1;uzao;248611.1;12.42365;2.890372;3.583519;2.302585;2.014903;1.609438;1.609438;8.354249;12.84161;5.301898;4.059834;2.590291;2.833213;0;8.027098;0;8;12.84160798;24.14688508;12.42364511
8;1;7500000;37;20;5;7.5;4;1;1;0;1;1;0;5;3;0;0;0;0;1;0;uzao;202702.7;12.2195;2.995732;3.610918;1.609438;2.014903;1.386294;1.386294;8.974412;13.03873;2.590291;4.059834;1.921812;1.609438;1.098612;2.590291;1.206949;12;13.03872817;26.88493523;12.21949565
9;1;7500000;42;20;9;7.5;5;1;0;1;1;1;0;14;12;0;0;0;0;1;0;uzao;178571.4;12.09274;2.995732;3.73767;2.197225;2.014903;1.609438;1.609438;8.974412;13.97017;4.827796;4.059834;2.590291;2.639057;2.484907;6.964624;6.174761;13;13.97017418;26.88493523;12.0927438
10;1;7700000;38;18;8;7.5;15;1;0;1;1;1;0;16;2;0;0;0;0;1;0;uzao;202631.6;12.21914;2.890372;3.637586;2.079442;2.014903;2.70805;2.70805;8.354249;13.23203;4.324077;4.059834;7.333536;2.772589;0.6931472;7.687248;0.480453;12;13.23203307;24.14688508;12.21914483
